FishID,Temp_Trmt,Expt,TankID_Expt,SwimSpeed,MO2,SMR,SMR_AdjRsq,RMR,MMR,Ucrit,FAS,AAS,SL_mm,WholeFishWWT_g,Gonads,GonadWWTg,ParasiteWWT,HSI,LiverLipids,MuscleLipids,Growth,MeanTemp_3Months,ActualTemp_DayofTrial,MeanSalinity_3Months,Salinity_DayofTrial,DaylightHours,DaysSinceFeeding,Acclimation
9429,8,1,8,0.6,63.04564235,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,0.6,57.59708216,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,0.8,66.15987638,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,0.8,68.14509638,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,0.8,64.88259872,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,1,77.46433624,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,1,59.72766515,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,1,62.71125975,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,1.2,82.45929341,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
9429,8,1,8,1.2,76.79670926,35.9632733,0.856335139,59.39123402,143.3290806,1.795222222,2.413303629,83.93784658,200,100.06,No,0,0,1.530681591,23.46474181,3.236686391,0.1953125,7.861089629,7.4,33.07831325,31.7,9,3,363
